Вопрос,Развернутый ответ,Правильный ответ,Вариант 1,Вариант 2,Ответ в картинке
Kiedy obchodzona jest Wigilia?,"24 grudnia Na Wigilię ubieramy choinkę (wieszamy bombki), zapalamy świece, śpiewamy kolędy (na przykład, „Cicha noc, święta noc”), dajemy prezenty. Przed kolacją wigilijną dzielimy się opłatkiem i składamy życzenia. Zasiadamy do stołu, kiedy na niebie pojawi się pierwsza gwiazda. Na Wigilię gotujemy 12 (dwanaście) potraw, które powinny być bezmięsne. To karp, pierogi z grzybami, kutia, kisiel z suszonych owoców, barszcz z grzybami, sernik, makowiec i td. Przy stole wigilijnym jest też wolne miejsce dla nieznajomego, który może przyjść na Wigilię.",24 grudnia,25 grudnia,26 grudnia,220px-Wigilia_potrawy_76.jpg
Kiedy obchodzono jest Boże Narodzenie?,"25 grudnia spędzamy
czas z rodziną",25 grudnia,24 grudnia,26 grudnia,"Adoration_of_the_Shepherds,_Murillo_(Prado_Museum).jpg"
Kiedy obchodzony jest Dzień Świętego Szczepana?,"Dzień Świętego Szczepana – święto obchodzone na pamiątkę świętego Szczepana (pierwszego chrześcijańskiego męczennika) 26 grudnia. Boże Narodzenie w polskich rodzinach to trzy dni: Wigilia (24 grudnia), Boże Narodzenie (25 grudnia),
Dzień Świętego Szczepana (26 grudnia). W drugi dzień świąt (26 grudnia) odwiedzamy dalszą rodzinę.",26 grudnia,24 grudnia,25 grudnia,1460x616.jpeg
Ile dni obchodzimy Święta Wielkanocne?,"Święta Wielkanocne składają się z 4 (czterech) dni: Niedziela Palmowa, Wielka Sobota, Wielkanoc i Poniedziałek Wielkanocny (śmigus-dyngus, lany poniedziałek). Wielkanoc to data ruchoma: przykładowo koniec marca – początek kwietnia.",4 dni,3 dni,2 dni,Adoracja_krzyża.jpg
Kiedy ludzie idą do kościoła święcić palmy (wierzby). (Wielki tydzień zaczyna się),"Wielki tydzień zaczyna się od Niedzieli Palmowej, kiedy ludzie idą do kościoła święcić palmy (wierzby). Te
palmy będą chronić od nieszczęścia, choroby i wszystkiego złego. Przez cały Wielki tydzień rodzina przygotowuje się do Wielkanocy, robi porządek w domu, piecze ciasta,
gotuje jedzenie.",Niedzieli Palmowej,Wielkanocy,Śmigus-dyngus,220px-Palm_Sunday_in_Poland.png
Kiedy trzeba iść do kościoła z koszykiem?,"W Wielką Sobotę trzeba iść do kościoła z koszykiem. Są w nim święconka: jajka, chleb, kawałek mięsa i kiełbasy, sól, chrzan, ciasto (babka wielkanocna), figurka baranka z cukru, plastiku albo z ciasta. Ksiądz w kościele święci to, i rano w niedzielę już można to wszystko jeść. Często w sobotę wieczorem ludzie chodzą do kościoła na mszę, która nazywa się REZUREKCJA.",Wielka Sobota,Wielkanoc,Niedziela Palmowa,Święcone2007.jpg
"W ten dzień przed śniadaniem rodzina dzieli się jajkiem i składa sobie życzenia, a potem zasiada do stołu i je biały barszcz z jajkiem i kiełbasą lub żurek (te zupy są podobne do siebie).","Wielkanoc. W polskim zwyczaju, po porannej rezurekcji rodzina zasiada do uroczystego śniadania wielkanocnego, które rozpoczyna się składaniem życzeń i dzieleniem się święconką z koszyczka. Na stołach znajdują się jajka, wędliny, wielkanocne baby i mazurki. Stoły zdobione są bukietami z bazi i pierwszych wiosennych kwiatów. ",Wielkanoc,Śmigus-dyngus,Wielka Sobota,sniadanie-wielkanocne.jpg
Poniedziałek Wielkanocny to ?,"W poniedziałek jest śmigus-dyngus. To tradycja oblewania się wodą. Dawno na wsi kawalerowie oblewali panny wodą na szczęście i żeby szybko wyszły za mąż. Teraz wodą oblewa się wszystkich i wszystko –
starszych, dzieci, samochody. To dobra zabawa.",Śmigus-dyngus,Niedziela Palmowa,Rezurekcja,Smiergusnicy_polewaja_panne_2.jpg
"Kiedy obchodzimy Wniebowzięcie
Najświętszej Maryi Panny?",15 sierpnia – Święto Wojska Polskiego i Wniebowzięcie Najświętszej Maryi Panny. 15 sierpnia jest dniem ustawowo wolnym od pracy.,15 sierpnia,2 sierpnia,2 maja,The_Assumption_of_Virgin_Mary_by_Guido_Reni_(1638-9)_-_Alte_Pinakothek_-_Munich_-_Germany_2017.jpg
1 listopada w Polsce obchodzą ???,"1 listopada w Polsce obchodzą Dzień Wszystkich Świętych, a 2 listopada – Zaduszki, czyli Dzień wspomnienia przodków. W Dzień Zaduszny wierni odwiedzają cmentarze i zapalają znicze. Wcześniej ten dzień nazawano Dziady.",Dzień Wszystkich Świętych,Śmigus-dyngus,Bitwa Warszawska,030_All_Saints_Day_celebration_in_Poland_-_grave_candles_in_the_evening.jpg
Co obchodzimy 31 grudnia?,"Nowy Rok w Polsce obchodzą 1 stycznia, a przed nim jest Sylwester – 31 grudnia. W ten dzień są imieniny Sylwestra, w kościele katolickim jest wspomnienie liturgiczne papieża Sylwestra I.",Sylwester,Nowy Rok,Śmigus-dyngus,Castroreale_20_02_2018_01.jpg
Uroczystość Najświętszego Ciała i Krwi Chrystusa to …,"Boże Ciało – to uroczystość Najświętszego Ciała i Krwi Chrystusa. Święto ma datę ruchomą i zawsze przypada na czwartek, który jest w dziewiątym tygodniu po Wielkanocy. W ten dzień są procesje prowadzone do 4 ołtarzy",Boże Ciało,Sylwester,Rezurekcja,Procesja_Bożego_Ciała.jpg
W ten dzień święconą kredą piszemy na drzwiach litery K+M+B i rok.,"Święto Trzech Króli obchodzą 6 stycznia. To jest dzień wolny od pracy. W ten dzień święconą kredą piszemy na drzwiach litery K+M+B i rok. Litery oznaczają imiona mędrców: Kacper, Melhior, Baltazar. Ten napis będzie chronić dom od wszystkiego złego.",Święto Trzech Króli,Nowy Rok,Sylwester,Święto_Trzech_Króli_w_Sopotni_Małej_-_Trzej_Królowie_z_Aniołem.jpg
Co obchodzimy 6 grudnia?,"6 grudnia są imieniny Świętego Mikołaja. W noc z 5 na 6 grudnia Święty Mikołaj przynosi dzieciom
Prezenty.",imieniny Świętego Mikołaja,Dzień Świętego Szczepana,Święto Trzech Króli,mikołaj-shutterstock_504231577-e1513720465360.jpg
Pierwszy dzień Wielkiego Postu,"Środa Popielcowa (Popielec) – pierwszy dzień Wielkiego Postu. W ten
dzień ksiądz posypuje głowy wiernych popiołem i mówi: „Pamiętaj, że z prochu powstałeś i w proch się
obrócisz”. To ma im przypomnieć o kruchości życia, że trzeba pamiętać o śmierci.",Środa Popielcowa,Boże Ciało,Rezurekcja,"240px-Fałat_Julian,_Popielec.jpg"
święto obchodzone w nocy z 23 na 24 czerwca w wigilię świętego Jana Chrzciciela,"Noc świętojańska. Do głównego rytuału adaptowanego obrzędu w zależności od regionu należało (należy):

palenie ognia (np. na południu Polski), w Małopolsce, na Śląsku i Pomorzu – tzw. sobótka, na Warmii i Mazurach Palinocka lub ognie świętojańskie m.in. w krajach skandynawskich i anglo-saskich oraz Wielkopolska i historyczne Pomorze Zachodnie,
skoki przez ognisko (np. Niemcy, Polska, Litwa, Łotwa, Rosja),
palenie kukły (np. Irlandia, Francja, południowa Polska, Ukraina),
tańce dziewcząt wokół rozpalonego w nocy ogniska (np. Białoruś, Podlasie),
obrzęd zarzucania wianków przez głowę na drzewa (np. historyczna Wielkopolska, Pomorze, Warmia i Mazury),
puszczanie wianków po wodzie (np. Kraków/Wianki, Mazowsze, Rosja),
wieńczenie zielem (np. Polska, Szwecja, Dania, Niemcy, Rosja itd.).",Noc świętojańska,Wielka Sobota,Cud nad Wisłą,1280px-SktHansFaelledparkenCPH.jpg
Narodowy Dzień Pamięci „Żołnierzy Wyklętych” obchodzimy ,"Narodowy Dzień Pamięci „Żołnierzy Wyklętych” – polskie święto państwowe obchodzone corocznie 1 marca, poświęcone upamiętnieniu żołnierzy antykomunistycznego i niepodległościowego podziemia. Święto nie jest dniem wolnym od pracy",1 marca,3 maja,15 sierpnia,Monument_to_Cursed_Soldiers_in_Rzeszów_0_c.jpg
14 kwietnia to,"Święto Chrztu Polski – polskie święto państwowe obchodzone 14 kwietnia, poświęcone upamiętnieniu chrztu Polski datowanego na 14 kwietnia 966",Święto Chrztu Polski ,Rezurekcja,Dzień Wszystkich Świętych,Swięto chrstu.png
ostatni czwartek przed wielkim postem,"Tłusty czwartek – ostatni czwartek przed wielkim postem (czyli 52 dni przed Wielkanocą) w kalendarzu chrześcijańskim. Znany także jako zapusty, mięsopust, karnawał. Tłusty czwartek rozpoczyna ostatni tydzień karnawału. W Polsce oraz w katolickiej części Niemiec, wedle tradycji, w tym dniu dozwolone jest objadanie się. Na Tłusty
Czwartek jedzą pączki i faworki.",Tłusty czwartek,Noc świętojańska,Sylwester,220px-Faworki_(plate).jpg
Dzień Polonii i Dzień Flagi obchodzimy,"Dzień Polonii i Polaków za Granicą – polskie święto obchodzone 2 maja od 2002, ustanowione przez Sejm Rzeczypospolitej Polskiej, z inicjatywy Senatu RP – w dowód uznania wielowiekowego dorobku i wkładu Polonii i Polaków za granicą w odzyskanie przez Polskę niepodległości, wierność i przywiązanie do polskości oraz pomoc Krajowi w najtrudniejszych momentach.
Tego samego dnia obchodzony jest Dzień Flagi Rzeczypospolitej Polskiej.
Dzień 2 maja nie jest dniem wolnym od pracy.",2 maja,3 maja,5 maja,Flaga_polski_przy_domu.jpg
Co obchodzimy 3 maja?,"Święto Narodowe Trzeciego Maja – polskie święto państwowe obchodzone 3 maja ustanowione w 1919 i ponownie w 1990.
Dzień ten jest dniem wolnym od pracy. 3 maja 1791 w Rzeczypospolitej Obojga Narodów uchwalono jedną z pierwszych na świecie konstytucji. Wyprzedziła ona m.in. konstytucję francuską. Konstytucja została uchwalona przez Sejm Czteroletni.",Święto Konstytucji 3 Maja,Dzień Polonii,Dzień Matki,1920px-Konstytucja_3_Maja.jpg
Narodowy Dzień Pamięci Powstania Warszawskiego,"Narodowy Dzień Pamięci Powstania Warszawskiego – polskie święto państwowe, obchodzone corocznie od 2010 roku w dniu 1 sierpnia.
Dzień ten nie jest dniem wolnym od pracy. Swięto ustanawia się w hołdzie bohaterom Powstania Warszawskiego – tym, którzy w obronie bytu państwowego, z bronią w ręku walczyli o wyzwolenie stolicy, dążyli do odtworzenia instytucji niepodległego Państwa Polskiego, sprzeciwili się okupacji niemieckiej i widmu sowieckiej niewoli zagrażającej następnym pokoleniom Polaków. Uzasadnienie dołączone do projektu ustawy dodawało ponadto, że uhonorowaniem dnia wybuchu powstania wolna Polska może spłacić swój dług wdzięczności",1 sierpnia,1 czerwca,31 sierpnia,Warsaw_wwII_1.jpg
1025 – Kto zostaje koronowany na pierwszego polskiego króla?,"Bolesław Chrobry został koronowany na króla Polski w 1025 roku, co podniosło rangę Polski do królestwa i wzmocniło jej pozycję na arenie międzynarodowej.",Bolesław Chrobry,Konrad Mazowiecki,Kazimierz I,Boleslaw_I_Chrobry_(274954).jpg
W którym roku Konrad Mazowiecki sprowadził Krzyżaków do Polski?,1226 – Konrad Mazowiecki sprowadza do Polski krzyżaków,1226,1301,1127,Konrad_I_mazowiecki_(275073).jpg
"Jak nazywa się pierwsza polska uczelnia wyższa, założona przez Kazimierza III Wielkiego w 1364 roku?","1364 – założenie pierwszej polskiej uczelni wyższej – Uniwersytetu w Krakowie – przez Kazimierza III
Wielkiego.",Uniwersytet w Krakowie,Uniwersytet im. Adama Mickiewicza w Poznaniu,Uniwersytet Warszawski,"Jagiellonian_University_Collegium_Novum,_1882_designed_by_Feliks_Księżarski,_24_Gołębia_street,_Old_Town,_Krakow,_Poland.jpg"
Unia w Krewie,"Unia w Krewie to akt wydany 14 sierpnia 1385 roku przez wielkiego księcia litewskiego Władysława Jagiełłę, stanowiący jego zobowiązania przedślubne wobec Królestwa Polskiego. Wydanie aktu stanowiło wynik rozmów prowadzonych między księciem a panami małopolskimi na zamku w Krewie dotyczących małżeństwa królowej Jadwigi z Jagiełłą.",14 sierpnia 1385,11 listopada 1918 ,20 czerwca 1410,Map_of_the_Grand_Duchy_of_Lithuania_(pink)_and_the_Crown_of_the_Kingdom_of_Poland_(red)_in_1386_-_1434.png
Co się stało 15 lipca 1410?,"15 lipca 1410 – Bitwa pod Grunwaldem, która odbyła się w czasie trwania wielkiej wojny między siłami zakonu
krzyżackiego a połączonymi siłami polskimi i litewskimi. Bitwa zakończyła się zwycięstwem wojsk polsko-
Litewskich.",Bitwa pod Grunwaldem,Unia w Krewie,Święto Chrztu Polski,"Jan_Matejko,_Bitwa_pod_Grunwaldem.jpg"
"W wyniku Unii powstało państwo znane jako Rzeczpospolita
Obojga Narodów.","1569 – Unia lubelska
To jest porozumienie pomiędzy stanami Korony Królestwa Polskiego i Wielkiego Księstwa Litewskiego. Zostało
zawarte 1 lipca 1569 na sejmie walnym w Lublinie. W wyniku Unii powstało państwo znane jako Rzeczpospolita
Obojga Narodów.",Unia lubelska,Unia w Krewie,Unia brzeska,Irp1569.jpg
Unia brzeska i przeniesienie stolicy Polski z Krakowa do Warszawy,"1596 – Unia brzeska i przeniesienie stolicy Polski z Krakowa do Warszawy
Unia brzeska to połączenie Cerkwi prawosławnej z Kościołem łacińskim w Rzeczypospolitej Obojga Narodów,
dokonane w Brześciu Litewskim w 1596 roku. 
W tym roku polski król Zygmunt III Waza przeniósł stolicę z Krakowa do Warszawy.",1596,1601,1597,Poland_under_Jagello.jpg
Wiek – złoty wiek Polski,"Wiek XVI jest nazywany złotym wiekiem dziejów Polski. W połowie tego wieku państwo polsko-litewskie obejmowało prawie 1 mln km² powierzchni i liczyło około 11 milionów mieszkańców, będąc jednym z największych (wraz z Rosją oraz Imperium Osmańskim) państw Europy, potęgą polityczną, militarną i ekonomiczną, dostawcą drewna i produktów rolnych do zachodniej Europy (przez to nazywane także spichlerzem Europy)",XVI,XVII,XV,Irp1569 (1).jpg
"Powstanie kościuszkowskie (Tadeusza Kościuszki), czyli Insurekcja kościuszkowska","1794 – Powstanie kościuszkowskie (Tadeusza Kościuszki), czyli Insurekcja kościuszkowska
To było powstanie narodowe przeciw Rosji i Prusom (przeciw rozbiorom Polski).",1794,1793,1795,Karl_G_Schweikart_-_Tadeusz_Kościuszko_(ÖaL).jpg
"Powstanie Legionów polskich we Włoszech, napisano hymn Polski","1797 – Powstanie Legionów polskich we Włoszech. 
Powstanie Legionów Polskich we Włoszech pod dowództwem gen. Jana Dąbrowskiego, które powinno walczyli u boku armii francuskiej Napoleona. Pieśń tych legionów „Mazurek Dąbrowskiego” później stał się hymnem narodowym Polski. Słowa hymnu – nazywanego Pieśnią Legionów Polskich we Włoszech – zostały napisane przez Józefa Wybickiego. Autor melodii, opartej na motywach ludowego mazurka (właściwie mazura) pozostaje nieznany.",1797,1790,1772,Jan_Henryk_Dabrowski_2.jpg
Polska otrzymała niepodległość,11 listopada 1918 – Polska otrzymała niepodległość,11 listopada 1918 ,20 listopada 1919 ,1 listopada 1918 ,Narodowe_Święto_Niepodległości_2012_01.JPG
"Bitwa Warszawska, czyli “Cud nad Wisłą” – przełomowy moment w wojnie polsko-
rosyjskiej","15 sierpnia 1920 – Bitwa Warszawska, czyli “Cud nad Wisłą” – przełomowy moment w wojnie polsko-
Rosyjskiej, operacja wojskowa stoczona w dniach 13–25 sierpnia 1920 roku pomiędzy nacierającą na Warszawę i na północny zachód od niej Armią Czerwoną a Wojskiem Polskim, zgrupowanym nad Wisłą i Wieprzem, decydująca bitwa wojny polsko-bolszewickiej. Zwycięstwo strony polskiej w bitwie radykalnie zmieniło przebieg wojny, pozwoliło zachować niepodległość odradzającej się Rzeczypospolitej.",15 sierpnia 1920,1 sierpnia 1921,15 sierpnia 1923,Polish-Soviet_War-_1920_Polish_recuritment_poster.jpg
"Atak niemiecki na Polskę, początek Drugiej wojny światowej","1 września 1939 – atak niemiecki na Polskę, początek Drugiej wojny światowej. W dniach 1–7 września 1939 miała miejsce Obrona Westerplatte pod dowództwem mjr. Henryka Sucharskiego. W trakcie tych walk garnizon walczył samotnie i w okrążeniu wobec przeważających sił wroga.",1 września 1939,22 czerwca 1941,1 października 1938,Granica-zrywanie_godła.jpg
Atak sowiecki na Polskę (w czasie Drugiej wojny światowej),17 września 1939 – atak sowiecki na Polskę,17 września 1939,1 września 1939,1 sierpnia 1939,Mapa_Paktu_R_M_Izwiestia-18.09.1939.jpg
Zbrodnia katyńska,"Wiosna 1940 – Zbrodnia katyńska. Zbrodnia katyńska – to rozstrzelanie około 22 tysięcy Polaków (głównie oficerów) przez NKWD w lesie katyńskim
(niedaleko Smoleńska) wiosną 1940 roku. Powstał film Katyń – polski film wojenny z 2007 w reżyserii Andrzeja Wajdy na podstawie noweli filmowej Andrzeja Mularczyka. Główne role: Maja Ostaszewska, Artur Żmijewski, Paweł Małaszyński, Andrzej Chyra, Danuta Stenka. (Na Białorusi jest podobne miejsce – Kuropaty. To miejsce pochówku ludzi rozstrzelanych przez NKWD w latach
1937–1941)",Wiosna 1940,Wiosna 1942,Lato 1941,uid_841ff0722d85456c85b34f43298f591a_width_900_play_0_pos_0_gs_0_height_506.jpg
Powstanie w getcie warszawskim,1943 – Powstanie w getcie warszawskim – zbrojne wystąpienie żydowskich podziemnych formacji zbrojnych na terenie warszawskiego getta od 19 kwietnia do 16 maja 1943.,1943,1944,1942,Stroop_Report_-_Warsaw_Ghetto_Uprising_08.jpg
"Data, 1944 – Powstanie warszawskie","1 sierpnia – 2 października 1944 – Powstanie warszawskie
Powstanie warszawskie zostało rozpoczęte 1 sierpnia 1944 o godzinie 17.00 (tak zwana Godzina „W”). To było
powstanie przeciwko okupującym Warszawę wojskom niemieckim, zorganizowane przez Armię Krajową.",1 sierpnia – 2 października,15 sierpnia – 15 października,30 sierpnia – 5 października,powstanie_warszawskie.jpg
Ruch “Solidarności”,"Sierpień 1980 – Ruch “Solidarności”. Solidarność – to związek zawodowy, który powstał w 1980 roku dla obrony praw pracowniczych. W sierpniu 1980 roku odbyło się dużo strajków na Wybrzeżu, zakończonych zawarciem czterech porozumień sierpniowych.",Sierpień 1980,Sierpień 1981,Sierpień 1970,mqdefault.jpg
13 grudnia 1981 – 1983,Stan wojenny w Polsce w latach 1981–1983 – stan nadzwyczajny wprowadzony 13 grudnia 1981 roku na terenie całej Polskiej Rzeczypospolitej Ludowej. 13 grudnia (noc z soboty na niedzielę) o godzinie 0:00 oddziały ZOMO rozpoczęły ogólnokrajową akcję aresztowań działaczy opozycyjnych.,Stan wojenny w Polsce,Powstanie warszawskie,Powołanie ZOMO,T-55A_Martial_law_Poland.jpg
 Obrady Okrągłego Stołu,"1989 – Obrady Okrągłego Stołu
Okrągły Stół – negocjacje prowadzone od 6 lutego do 5 kwietnia 1989 przez przedstawicieli władz Polskiej
Rzeczypospolitej Ludowej, demokratycznej opozycji oraz strony kościelnej (przedstawiciele Kościoła katolickiego i
Kościoła Ewangelicko-Augsburskiego).",1989,1987,1986,800px-Tablica_Okrągły_Stół_Instytut_Socjologii_UW_ul._Karowa.jpg
Pierwsze demokratyczne wybory w Polsce,"1990 – pierwsze demokratyczne wybory w Polsce. Wybory prezydenckie w Polsce w 1990 − pierwsze w pełni równe, wolne, powszechne, w głosowaniu tajnym wybory prezydenckie, które odbyły się 25 listopada (I tura) i 9 grudnia (II tura). Wyłoniły prezydenta III Rzeczypospolitej, następcę wybranego przez Zgromadzenie Narodowe Wojciecha Jaruzelskiego − został nim Lech Wałęsa, który w II turze pokonał Stanisława Tymińskiego.",1990,1991,1989,walesa_2_0.jpg
1999 – Polska przystąpiła do  ,"1999 – Polska przystąpiła do NATO. Aleksander Kwaśniewski był prezydentem dwie kadencje, podczas jego rządu Polska
wstąpiła do NATO (w 1999 roku) i Unii Europejskiej (w 2004 roku).",NATO,Unia Europejska,Rada Europy,NATO.jpg
Polska przystąpiła do Unii Europejskiej,"2004 – Polska przystąpiła do Unii Europejskiej. Aleksander Kwaśniewski był prezydentem dwie kadencje, podczas jego rządu Polska
wstąpiła do NATO (w 1999 roku) i Unii Europejskiej (w 2004 roku).",2004,2005,2006,Podpisanie_traktatu_UE.jpg
Katastrofa pod Smoleńskiem,"10 kwietnia 2010 – katastrofa pod Smoleńskiem.
Katastrofa polskiego samolotu Tu-154, do której doszło w Smoleńsku w sobotę, 10 kwietnia 2010 roku, była jedną z największych tragedii w historii współczesnej Polski. Zginęło w niej 96 osób, w tym: prezydent RP Lech Kaczyński z małżonką Marią Kaczyńską, ostatni prezydent RP na uchodźstwie Ryszard Kaczorowski, wicemarszałkowie Sejmu i Senatu, 18 parlamentarzystów, dowódcy wszystkich rodzajów Sił Zbrojnych RP oraz członkowie załogi samolotu. Delegacja polska leciała na uroczystości związane z obchodami 70. rocznicy zbrodni katyńskiej.",10 kwietnia 2010,10 kwietnia 2009,3 kwietnia 2012 ,Polish_Air_Force_Tupolev_Tu-154_Dmitry_Karpezo-2.jpg
Otrzymała Nagrodę Nobla w 1903 roku w dziedzinie fizyki,"Maria Curie-Skłodowska otrzymała Nagrodę Nobla w 1903 roku w dziedzinie fizyki wraz z mężem Piotrem
Curie oraz Becquerelem za pracę nad promieniotwórczością. A w 1911 roku – w dziedzinie chemii za
rozwój chemii dzięki odkryciu polonu i radu oraz za zbadanie metalicznego radu i jego związków
Chemicznych.",Maria Curie-Skłodowska,Wisława Szymborska,Olga Tokarczuk,Marie_Curie_c._1920s.jpg
"Otrzymał Nagrodę Nobla w dziedzinie literatury za całokształt
twórczości. Napisał powieści historyczne ""Quo Vadis"", ""Krzyżacy"", ""Ogniem i mieczem"", ""Potop"", ""Pan
Wołodyjowski"".","Henryk Sienkiewicz otrzymał Nagrodę Nobla w dziedzinie literatury za całokształt
twórczości. Napisał powieści historyczne ""Quo Vadis"", ""Krzyżacy"", ""Ogniem i mieczem"", ""Potop"", ""Pan
Wołodyjowski"".",Henryk Sienkiewicz,Władysław Reymont,Czesław Miłosz,Henryk_Sienkiewicz_ca_1885_(45871548)_(cropped).jpg
"Otrzymał Nagrodę Nobla w dziedzinie literatury za powieść ""Chłopi"".","Władysław Reymont (1924) Otrzymał Nagrodę Nobla w dziedzinie literatury za powieść ""Chłopi"". Akcja powieści dzieje się we wsi Lipce, miejscowość ta nie odpowiada jednak rzeczywistej wsi o takiej nazwie, obecnie nazywanej Lipcami Reymontowskimi. Akcja utworu obejmuje dziesięć miesięcy – rozpoczyna się pod koniec września, a kończy pod koniec lipca.",Władysław Reymont,Henryk Sienkiewicz,Czesław Miłosz,Wyczolkowski-portretReymonta.jpg
Otrzymał Nagrodę Nobla w dziedzinie literatury za całokształt twórczości w 1980.,"Czesław Miłosz (ur. 30 czerwca 1911 w Szetejniach, zm. 14 sierpnia 2004 w Krakowie) – polski poeta, prozaik, eseista, historyk literatury, tłumacz, dyplomata - Otrzymał Nagrodę Nobla w dziedzinie literatury za całokształt twórczości w 1980 roku.",Czesław Miłosz,Henryk Sienkiewicz,Władysław Reymont,lossy-page1-800px-Czeslaw_Milosz_3_ap.tif.jpg
